ggml_cuda_init: found 1 CUDA devices (Total VRAM: 45596 MiB):
  Device 0: NVIDIA L40S, compute capability 8.9, VMM: yes, VRAM: 45596 MiB

Computing statistics for /home/user1/workspace/bobchenyx/26-ICCAD/qwen3-imatrix-q8_0.gguf (384 tensors)

 Layer	       Tensor	          Σ(Act²)	  Min	            Max	           μ	   σ	 % Active	N	   Entropy	E (norm)	ZD	  CosSim
=========================================================================================================================================================================
   47	attn_k              	   1946.03	  0.0874	   336.8749	  0.95	  9.17	  100.00%	  2048	    6.8933	 62.67%	      1.37%	  0.9252
   45	attn_k              	   1398.26	  0.0273	    69.1270	  0.68	  3.53	  100.00%	  2048	    7.7086	 70.08%	      2.93%	  0.9132
   46	attn_k              	   1378.93	  0.0693	   121.9380	  0.67	  4.17	  100.00%	  2048	    7.7396	 70.36%	      2.20%	  0.8575
   44	attn_k              	    635.52	  0.0224	    31.6502	  0.31	  1.71	  100.00%	  2048	    7.6397	 69.45%	      2.39%	  0.9685
   42	attn_k              	    500.38	  0.0218	    40.1940	  0.24	  1.52	  100.00%	  2048	    7.6019	 69.11%	      2.05%	  0.9743
   43	attn_k              	    478.77	  0.0000	    26.6812	  0.23	  1.25	   99.95%	  2048	    7.9641	 72.40%	      2.15%	  0.8063
   41	attn_k              	    328.34	  0.0150	    22.0759	  0.16	  1.04	  100.00%	  2048	    7.4503	 67.73%	      1.86%	  0.8888
   40	attn_k              	    205.87	  0.0092	    10.4480	  0.10	  0.60	  100.00%	  2048	    7.6878	 69.89%	      2.15%	  0.9352
   38	attn_k              	    136.61	  0.0013	     9.6524	  0.07	  0.41	  100.00%	  2048	    7.8139	 71.04%	      1.90%	  0.9903
   39	attn_k              	    118.95	  0.0000	     8.1273	  0.06	  0.35	   99.95%	  2048	    7.9761	 72.51%	      1.95%	  0.9917
   37	attn_k              	     70.09	  0.0009	     4.6882	  0.03	  0.22	  100.00%	  2048	    7.6160	 69.24%	      1.95%	  0.9794
   36	attn_k              	     48.12	  0.0003	     3.8887	  0.02	  0.15	  100.00%	  2048	    7.8204	 71.09%	      1.95%	  0.9880
   35	attn_k              	     39.56	  0.0004	     3.0719	  0.02	  0.13	  100.00%	  2048	    7.5203	 68.37%	      1.81%	  0.9642
   29	attn_k              	     32.87	  0.0004	     6.1356	  0.02	  0.16	  100.00%	  2048	    6.9921	 63.56%	      1.46%	  0.5780
   26	attn_k              	     30.28	  0.0007	     3.4961	  0.01	  0.11	  100.00%	  2048	    7.7894	 70.81%	      1.61%	  0.9842
   33	attn_k              	     29.30	  0.0007	     2.6930	  0.01	  0.09	  100.00%	  2048	    7.7162	 70.15%	      2.00%	  0.9898
   34	attn_k              	     27.62	  0.0000	     2.7806	  0.01	  0.10	   99.95%	  2048	    7.6018	 69.11%	      1.86%	  0.9819
   28	attn_k              	     23.52	  0.0008	     2.1705	  0.01	  0.07	  100.00%	  2048	    7.9174	 71.98%	      1.90%	  0.9724
   27	attn_k              	     23.38	  0.0000	     2.7558	  0.01	  0.08	   99.95%	  2048	    7.9021	 71.84%	      1.71%	  0.9947
   32	attn_k              	     22.00	  0.0006	     2.0839	  0.01	  0.07	  100.00%	  2048	    8.0156	 72.87%	      1.76%	  0.9774
   30	attn_k              	     21.20	  0.0000	     2.1861	  0.01	  0.07	  100.00%	  2048	    7.9433	 72.21%	      1.76%	  0.5403
   25	attn_k              	     18.22	  0.0001	     1.8400	  0.01	  0.07	  100.00%	  2048	    7.7722	 70.66%	      1.51%	  0.9959
   31	attn_k              	     16.42	  0.0002	     1.6334	  0.01	  0.05	  100.00%	  2048	    8.2773	 75.25%	      1.81%	  0.9892
   24	attn_k              	     13.67	  0.0000	     1.4317	  0.01	  0.05	  100.00%	  2048	    7.7663	 70.60%	      1.51%	  0.9809
   23	attn_k              	     12.44	  0.0001	     1.2675	  0.01	  0.05	  100.00%	  2048	    7.5457	 68.60%	      1.27%	  0.9886
   21	attn_k              	     10.73	  0.0001	     1.0379	  0.01	  0.04	  100.00%	  2048	    7.5565	 68.70%	      1.46%	  0.9961
   22	attn_k              	     10.66	  0.0000	     1.0877	  0.01	  0.04	   99.95%	  2048	    7.5726	 68.84%	      1.17%	  0.9891
   14	attn_k              	     10.11	  0.0002	     0.8799	  0.00	  0.03	  100.00%	  2048	    8.2153	 74.68%	      1.42%	  0.9810
   17	attn_k              	      9.29	  0.0001	     0.8528	  0.00	  0.04	  100.00%	  2048	    7.2356	 65.78%	      1.27%	  0.9346
   18	attn_k              	      8.54	  0.0000	     0.8681	  0.00	  0.03	   99.95%	  2048	    7.8355	 71.23%	      1.17%	  0.8698
   20	attn_k              	      7.39	  0.0002	     0.7079	  0.00	  0.03	  100.00%	  2048	    7.9418	 72.20%	      1.51%	  0.9856
   16	attn_k              	      6.48	  0.0002	     0.5072	  0.00	  0.02	  100.00%	  2048	    8.1716	 74.29%	      1.42%	  0.9744
   19	attn_k              	      6.28	  0.0000	     0.5437	  0.00	  0.02	  100.00%	  2048	    8.3306	 75.73%	      1.32%	  0.9873
   15	attn_k              	      5.50	  0.0000	     0.4118	  0.00	  0.02	   99.95%	  2048	    8.3269	 75.70%	      1.37%	  0.9819
    8	attn_k              	      5.08	  0.0001	     0.6624	  0.00	  0.02	  100.00%	  2048	    7.9123	 71.93%	      1.51%	  0.9617
   13	attn_k              	      4.48	  0.0000	     0.4078	  0.00	  0.02	   99.95%	  2048	    8.0252	 72.96%	      1.22%	  0.9860
   12	attn_k              	      3.70	  0.0000	     0.3062	  0.00	  0.01	  100.00%	  2048	    8.2138	 74.67%	      1.27%	  0.9842
    3	attn_k              	      3.60	  0.0000	     0.7300	  0.00	  0.02	  100.00%	  2048	    7.0999	 64.54%	      1.07%	  0.7721
   11	attn_k              	      2.99	  0.0000	     0.3138	  0.00	  0.01	  100.00%	  2048	    7.6746	 69.77%	      1.17%	  0.9760
    9	attn_k              	      2.98	  0.0001	     0.2844	  0.00	  0.01	  100.00%	  2048	    7.9806	 72.55%	      1.37%	  0.9450
    6	attn_k              	      2.96	  0.0000	     0.3249	  0.00	  0.01	   99.95%	  2048	    8.3265	 75.70%	      1.07%	  0.9759
   10	attn_k              	      2.66	  0.0000	     0.2467	  0.00	  0.01	   99.95%	  2048	    7.9495	 72.27%	      1.22%	  0.9618
    4	attn_k              	      2.01	  0.0000	     0.3376	  0.00	  0.01	   99.95%	  2048	    7.4483	 67.71%	      0.83%	  0.8959
    7	attn_k              	      1.97	  0.0000	     0.1865	  0.00	  0.01	  100.00%	  2048	    8.6675	 78.80%	      1.46%	  0.9655
    5	attn_k              	      1.80	  0.0001	     0.2737	  0.00	  0.01	  100.00%	  2048	    7.8478	 71.34%	      1.17%	  0.9565
    2	attn_k              	      0.54	  0.0000	     0.0942	  0.00	  0.00	   99.51%	  2048	    7.8764	 71.60%	      0.93%	  0.5888
    1	attn_k              	      0.32	  0.0000	     0.0493	  0.00	  0.00	   76.12%	  2048	    7.7391	 70.36%	      0.68%	  0.3153
    0	attn_k              	      0.15	  0.0000	     0.0116	  0.00	  0.00	   18.12%	  2048	    7.3406	 66.73%	      2.83%	  0.0000
   47	attn_output         	    593.82	  0.0008	    13.3306	  0.14	  0.68	  100.00%	  4096	    9.8120	 81.77%	      1.39%	  0.0167
   46	attn_output         	    120.14	  0.0008	    10.9747	  0.03	  0.24	  100.00%	  4096	    9.8486	 82.07%	      0.39%	  0.0577
   42	attn_output         	    104.91	  0.0000	     0.7883	  0.03	  0.03	  100.00%	  4096	   11.3988	 94.99%	     10.64%	  0.2749
   41	attn_output         	     64.71	  0.0000	     0.8235	  0.02	  0.03	  100.00%	  4096	   10.9300	 91.08%	      7.71%	  0.2594
   43	attn_output         	     56.64	  0.0014	     0.8838	  0.01	  0.03	  100.00%	  4096	   11.0956	 92.46%	      6.93%	  0.2202
   40	attn_output         	     56.05	  0.0017	     0.3458	  0.01	  0.02	  100.00%	  4096	   11.3441	 94.53%	      9.30%	  0.4770
   38	attn_output         	     44.07	  0.0006	     0.3880	  0.01	  0.02	  100.00%	  4096	   11.0873	 92.39%	      9.30%	  0.2424
   44	attn_output         	     41.90	  0.0004	     0.5243	  0.01	  0.02	  100.00%	  4096	   10.8908	 90.76%	      7.40%	  0.4269
   45	attn_output         	     36.89	  0.0019	     0.3335	  0.01	  0.02	  100.00%	  4096	   11.4136	 95.11%	      2.37%	  0.2664
   39	attn_output         	     23.74	  0.0007	     0.1068	  0.01	  0.01	  100.00%	  4096	   11.3745	 94.79%	     10.08%	  0.3894
   37	attn_output         	     22.75	  0.0002	     1.0040	  0.01	  0.02	  100.00%	  4096	   10.8340	 90.28%	      3.27%	  0.1220
   36	attn_output         	     16.80	  0.0003	     0.3296	  0.00	  0.01	  100.00%	  4096	   10.9008	 90.84%	      6.40%	  0.1930
   33	attn_output         	     13.48	  0.0003	     0.0994	  0.00	  0.01	  100.00%	  4096	   11.0895	 92.41%	      6.93%	  0.2539
   35	attn_output         	     13.01	  0.0000	     0.1002	  0.00	  0.00	  100.00%	  4096	   11.1324	 92.77%	      8.74%	  0.3536
   34	attn_output         	     11.94	  0.0000	     0.0736	  0.00	  0.00	   98.63%	  4096	   11.1324	 92.77%	      6.88%	  0.2528
   26	attn_output         	      9.75	  0.0001	     0.0417	  0.00	  0.00	  100.00%	  4096	   11.1279	 92.73%	      9.86%	  0.2186
   28	attn_output         	      8.99	  0.0003	     0.0602	  0.00	  0.00	  100.00%	  4096	   11.3722	 94.77%	      6.81%	  0.4376
   32	attn_output         	      8.99	  0.0002	     0.0963	  0.00	  0.00	  100.00%	  4096	   11.1908	 93.26%	      5.03%	  0.2361
   30	attn_output         	      8.25	  0.0000	     0.1888	  0.00	  0.00	   98.22%	  4096	   10.8879	 90.73%	      5.10%	  0.1527
   29	attn_output         	      7.55	  0.0000	     0.1044	  0.00	  0.00	   97.92%	  4096	   10.8972	 90.81%	      6.57%	  0.1991
   31	attn_output         	      7.47	  0.0002	     0.0735	  0.00	  0.00	  100.00%	  4096	   11.2066	 93.39%	      7.67%	  0.1717
   27	attn_output         	      7.10	  0.0002	     0.0286	  0.00	  0.00	  100.00%	  4096	   11.4282	 95.24%	      9.86%	  0.4824
   25	attn_output         	      6.99	  0.0001	     0.2312	  0.00	  0.00	  100.00%	  4096	   10.9034	 90.86%	      5.42%	  0.2201
   24	attn_output         	      5.99	  0.0001	     0.0374	  0.00	  0.00	  100.00%	  4096	   11.2668	 93.89%	     10.60%	  0.2993
   21	attn_output         	      5.53	  0.0001	     0.0415	  0.00	  0.00	  100.00%	  4096	   11.0725	 92.27%	      7.96%	  0.1896
   22	attn_output         	      5.50	  0.0000	     0.0456	  0.00	  0.00	   97.27%	  4096	   11.0473	 92.06%	      5.79%	  0.2092
   23	attn_output         	      5.36	  0.0000	     0.0688	  0.00	  0.00	   98.41%	  4096	   11.0997	 92.50%	      8.28%	  0.2848
   20	attn_output         	      3.73	  0.0001	     0.0551	  0.00	  0.00	  100.00%	  4096	   11.0022	 91.68%	      3.86%	  0.1845
   19	attn_output         	      3.42	  0.0000	     0.0239	  0.00	  0.00	  100.00%	  4096	   11.1227	 92.69%	      8.59%	  0.1619
   18	attn_output         	      3.25	  0.0000	     0.0479	  0.00	  0.00	   99.93%	  4096	   10.7633	 89.69%	     10.67%	  0.1393
   14	attn_output         	      3.02	  0.0000	     0.0127	  0.00	  0.00	   99.44%	  4096	   10.7999	 90.00%	      9.81%	  0.3570
   17	attn_output         	      2.38	  0.0000	     0.0301	  0.00	  0.00	   98.14%	  4096	   10.8798	 90.67%	      8.40%	  0.2645
   16	attn_output         	      2.33	  0.0001	     0.0141	  0.00	  0.00	  100.00%	  4096	   11.3777	 94.81%	      9.52%	  0.4653
   13	attn_output         	      1.96	  0.0000	     0.0206	  0.00	  0.00	  100.00%	  4096	   10.7930	 89.94%	     10.18%	  0.1919
   15	attn_output         	      1.77	  0.0000	     0.0080	  0.00	  0.00	  100.00%	  4096	   11.3816	 94.85%	     10.38%	  0.4711
   12	attn_output         	      1.33	  0.0000	     0.0063	  0.00	  0.00	  100.00%	  4096	   11.2466	 93.72%	      8.89%	  0.3147
   11	attn_output         	      1.28	  0.0000	     0.0153	  0.00	  0.00	   98.34%	  4096	   11.1984	 93.32%	      8.54%	  0.2521
    9	attn_output         	      1.28	  0.0000	     0.0102	  0.00	  0.00	  100.00%	  4096	   11.2600	 93.83%	      7.45%	  0.1982
   10	attn_output         	      1.27	  0.0000	     0.0178	  0.00	  0.00	   97.19%	  4096	   10.9590	 91.33%	      6.96%	  0.2626
    8	attn_output         	      1.13	  0.0000	     0.0251	  0.00	  0.00	  100.00%	  4096	   10.7724	 89.77%	      4.57%	  0.2009
    6	attn_output         	      1.04	  0.0000	     0.0112	  0.00	  0.00	   99.51%	  4096	   11.0294	 91.91%	     13.43%	  0.4215
    3	attn_output         	      0.78	  0.0000	     0.0058	  0.00	  0.00	   93.21%	  4096	   10.8540	 90.45%	      4.69%	  0.2832
    7	attn_output         	      0.75	  0.0000	     0.0051	  0.00	  0.00	   98.66%	  4096	   11.2453	 93.71%	     13.82%	  0.2178
    5	attn_output         	      0.57	  0.0000	     0.0043	  0.00	  0.00	   95.80%	  4096	   11.1388	 92.82%	      6.76%	  0.2017
    4	attn_output         	      0.51	  0.0000	     0.0057	  0.00	  0.00	   87.74%	  4096	   10.7329	 89.44%	      8.01%	  0.1847
    2	attn_output         	      0.24	  0.0000	     0.0060	  0.00	  0.00	   87.79%	  4096	   10.6948	 89.12%	      1.83%	  0.1340
    1	attn_output         	      0.19	  0.0000	     0.0019	  0.00	  0.00	   84.67%	  4096	   11.0072	 91.73%	      4.81%	  0.1005
    0	attn_output         	      0.08	  0.0000	     0.0035	  0.00	  0.00	   29.49%	  4096	    9.5361	 79.47%	      4.22%	  0.0000
   47	attn_q              	   1946.03	  0.0874	   336.8749	  0.95	  9.17	  100.00%	  2048	    6.8933	 62.67%	      1.37%	  0.9252
   45	attn_q              	   1398.26	  0.0273	    69.1270	  0.68	  3.53	  100.00%	  2048	    7.7086	 70.08%	      2.93%	  0.9132
   46	attn_q              	   1378.93	  0.0693	   121.9380	  0.67	  4.17	  100.00%	  2048	    7.7396	 70.36%	      2.20%	  0.8575
   44	attn_q              	    635.52	  0.0224	    31.6502	  0.31	  1.71	  100.00%	  2048	    7.6397	 69.45%	      2.39%	  0.9685
   42	attn_q              	    500.38	  0.0218	    40.1940	  0.24	  1.52	  100.00%	  2048	    7.6019	 69.11%	      2.05%	  0.9743
   43	attn_q              	    478.77	  0.0000	    26.6812	  0.23	  1.25	   99.95%	  2048	    7.9641	 72.40%	      2.15%	  0.8063
   41	attn_q              	    328.34	  0.0150	    22.0759	  0.16	  1.04	  100.00%	  2048	    7.4503	 67.73%	      1.86%	  0.8888
   40	attn_q              	    205.87	  0.0092	    10.4480	  0.10	  0.60	  100.00%	  2048	    7.6878	 69.89%	      2.15%	  0.9352
   38	attn_q              	    136.61	  0.0013	     9.6524	  0.07	  0.41	  100.00%	  2048	    7.8139	 71.04%	      1.90%	  0.9903
   39	attn_q              	    118.95	  0.0000	     8.1273	  0.06	  0.35	   99.95%	  2048	    7.9761	 72.51%	      1.95%	  0.9917
   37	attn_q              	     70.09	  0.0009	     4.6882	  0.03	  0.22	  100.00%	  2048	    7.6160	 69.24%	      1.95%	  0.9794
   36	attn_q              	     48.12	  0.0003	     3.8887	  0.02	  0.15	  100.00%	  2048	    7.8204	 71.09%	      1.95%	  0.9880
   35	attn_q              	     39.56	  0.0004	     3.0719	  0.02	  0.13	  100.00%	  2048	    7.5203	 68.37%	      1.81%	  0.9642
   29	attn_q              	     32.87	  0.0004	     6.1356	  0.02	  0.16	  100.00%	  2048	    6.9921	 63.56%	      1.46%	  0.5780
   26	attn_q              	     30.28	  0.0007	     3.4961	  0.01	  0.11	  100.00%	  2048	    7.7894	 70.81%	      1.61%	  0.9842
   33	attn_q              	     29.30	  0.0007	     2.6930	  0.01	  0.09	  100.00%	  2048	    7.7162	 70.15%	      2.00%	  0.9898
   34	attn_q              	     27.62	  0.0000	     2.7806	  0.01	  0.10	   99.95%	  2048	    7.6018	 69.11%	      1.86%	  0.9819
   28	attn_q              	     23.52	  0.0008	     2.1705	  0.01	  0.07	  100.00%	  2048	    7.9174	 71.98%	      1.90%	  0.9724
   27	attn_q              	     23.38	  0.0000	     2.7558	  0.01	  0.08	   99.95%	  2048	    7.9021	 71.84%	      1.71%	  0.9947
   32	attn_q              	     22.00	  0.0006	     2.0839	  0.01	  0.07	  100.00%	  2048	    8.0156	 72.87%	      1.76%	  0.9774
   30	attn_q              	     21.20	  0.0000	     2.1861	  0.01	  0.07	  100.00%	  2048	    7.9433	 72.21%	      1.76%	  0.5403
   25	attn_q              	     18.22	  0.0001	     1.8400	  0.01	  0.07	  100.00%	  2048	    7.7722	 70.66%	      1.51%	  0.9959
   31	attn_q              	     16.42	  0.0002	     1.6334	  0.01	  0.05	  100.00%	  2048	    8.2773	 75.25%	      1.81%	  0.9892
   24	attn_q              	     13.67	  0.0000	     1.4317	  0.01	  0.05	  100.00%	  2048	    7.7663	 70.60%	      1.51%	  0.9809
   23	attn_q              	     12.44	  0.0001	     1.2675	  0.01	  0.05	  100.00%	  2048	    7.5457	 68.60%	      1.27%	  0.9886
   21	attn_q              	     10.73	  0.0001	     1.0379	  0.01	  0.04	  100.00%	  2048	    7.5565	 68.70%	      1.46%	  0.9961
   22	attn_q              	     10.66	  0.0000	     1.0877	  0.01	  0.04	   99.95%	  2048	    7.5726	 68.84%	      1.17%	  0.9891
   14	attn_q              	     10.11	  0.0002	     0.8799	  0.00	  0.03	  100.00%	  2048	    8.2153	 74.68%	      1.42%	  0.9810
   17	attn_q              	      9.29	  0.0001	     0.8528	  0.00	  0.04	  100.00%	  2048	    7.2356	 65.78%	      1.27%	  0.9346
   18	attn_q              	      8.54	  0.0000	     0.8681	  0.00	  0.03	   99.95%	  2048	    7.8355	 71.23%	      1.17%	  0.8698
   20	attn_q              	      7.39	  0.0002	     0.7079	  0.00	  0.03	  100.00%	  2048	    7.9418	 72.20%	      1.51%	  0.9856
   16	attn_q              	      6.48	  0.0002	     0.5072	  0.00	  0.02	  100.00%	  2048	    8.1716	 74.29%	      1.42%	  0.9744
   19	attn_q              	      6.28	  0.0000	     0.5437	  0.00	  0.02	  100.00%	  2048	    8.3306	 75.73%	      1.32%	  0.9873
   15	attn_q              	      5.50	  0.0000	     0.4118	  0.00	  0.02	   99.95%	  2048	    8.3269	 75.70%	      1.37%	  0.9819
    8	attn_q              	      5.08	  0.0001	     0.6624	  0.00	  0.02	  100.00%	  2048	    7.9123	 71.93%	      1.51%	  0.9617
